Database loaded from C:\Users\Dor Shaar\Desktop\SoundRecognitionForWindows-master\SoundRecognition\WorkingDirectory\database\ItemsDB.bin
Database loaded from C:\Users\Dor Shaar\Desktop\SoundRecognitionForWindows-master\SoundRecognition\WorkingDirectory\database\ItemToRecognizeDataMap.bin
Recognizer machine turned on
Recognizer machine started
Recognizer machine start working...
Start processing new data
Creating directory: C:\Users\Dor Shaar\Desktop\SoundRecognitionForWindows-master\SoundRecognition\WorkingDirectory\RecordsData
Recording...
Pop detected after: 44795
Pop detected after: 45035
Pop detected after: 45484
Pop detected after: 48747
Pop detected after: 49202
Pop detected after: 49623
Pop detected after: 49857
Pop detected after: 50094
Pop detected after: 50778
Pop detected after: 53546
Pop detected after: 53765
Pop detected after: 57859
Pop detected after: 58781
Pop detected after: 59469
Pop detected after: 59703
Pop detected after: 59920
Pop detected after: 62921
Pop detected after: 66171
Pop detected after: 67561
Pop detected after: 69859
Pop detected after: 87888
Pop detected after: 88124
Pop detected after: 89952
Pop detected after: 90654
Pop detected after: 92295
Pop detected after: 92531
Pop detected after: 92764
Pop detected after: 93451
Pop detected after: 93686
Pop detected after: 93905
Pop detected after: 94138
Pop detected after: 94826
Pop detected after: 95296
Pop detected after: 95749
Pop detected after: 103889
Pop detected after: 111937
Pop detected after: 112170
Pop detected after: 112406
Pop detected after: 115341
Pop detected after: 116953
Pop detected after: 117639
Pop detected after: 129360
Pop detected after: 130280
Pop detected after: 138156
Pop detected after: 138608
Pop detected after: 138841
Pop detected after: 154482
Pop detected after: 154938
Pop detected after: 155172
Pop detected after: 163263
Record data saved
Stopped recording
Stopped processing new data
PopsRecognizer stopped. Stop Reason: Recognizer detected that the popcorn is ready
Machine stopped
