Database loaded from C:\Users\Dor Shaar\Desktop\SoundRecognitionForWindows-master\SoundRecognition\WorkingDirectory\database\ItemsDB.bin
Database loaded from C:\Users\Dor Shaar\Desktop\SoundRecognitionForWindows-master\SoundRecognition\WorkingDirectory\database\ItemToRecognizeDataMap.bin
Recognizer machine turned on
Recognizer machine started
Recognizer machine start working...
Start processing new data
Creating directory: C:\Users\Dor Shaar\Desktop\SoundRecognitionForWindows-master\SoundRecognition\WorkingDirectory\RecordsData
Recording...
Pop detected after: 41831
Pop detected after: 42895
Pop detected after: 44663
Pop detected after: 47503
Pop detected after: 47822
Pop detected after: 48041
Pop detected after: 48186
Pop detected after: 48382
Pop detected after: 50380
Pop detected after: 50629
Pop detected after: 51780
Pop detected after: 52015
Pop detected after: 52248
Pop detected after: 52702
Pop detected after: 54766
Pop detected after: 54999
Pop detected after: 57572
Pop detected after: 58166
Pop detected after: 59485
Pop detected after: 59906
Pop detected after: 63812
Pop detected after: 64047
Pop detected after: 64266
Pop detected after: 64499
Pop detected after: 64732
Pop detected after: 67031
Pop detected after: 67264
